ID,Slug,Titolo,Visibile,Stato,Contratto,Tipologia,Data pubblicazione,Featured home,Ordine home,USAF,Nuova realizzazione,Nome progetto,Comune,Provincia,Zona / Frazione,Indirizzo (opzionale),Mostra indirizzo,Prezzo,Prezzo su richiesta,Canone mensile,Spese condominiali / mese,Superficie commerciale m²,Camere,Bagni,Piano,Piani edificio,Anno costruzione,Classe energetica,"IPE / EPgl,nren",Garage / Box,Tipo garage / box,Posto auto,Posto auto coperto,Giardino,Superficie giardino m²,Terrazzo,Superficie terrazzo m²,Balcone,Porticato,Superficie porticato m²,Ascensore,Cantina,Climatizzazione,Arredato,Fotovoltaico,Piscina,Riscaldamento,Altre caratteristiche,Descrizione breve,Descrizione completa,Video / Virtual tour URL,Meta title,Meta description
p-001,casa-indipendente-prata-di-pordenone,Casa indipendente con corte,SI,Disponibile,Vendita,Casa indipendente,2026-01-15,SI,1,NO,NO,,Prata di Pordenone,PN,,,NO,320000,NO,,,180,3,2,,2,,0,0,SI,Doppio,0,0,SI,0,NO,,NO,NO,,NO,SI,NO,NO,NO,NO,Autonomo,Doppia esposizione|Corte privata,"Casa indipendente su due livelli, con corte privata e accesso carraio indipendente.","Casa indipendente disposta su due livelli, con corte privata e accesso carraio indipendente. Gli spazi del piano terra si aprono verso il giardino attraverso ampie aperture.
Al primo piano la zona notte è composta da tre camere e due bagni. Completano la proprietà un locale accessorio e un posto auto coperto.",,,
p-002,attico-panoramico-pordenone,Attico con terrazzo panoramico,SI,Disponibile,Vendita,Appartamento,2026-02-01,SI,2,NO,,,Pordenone,PN,Centro,,NO,465000,NO,,,145,3,2,Ultimo piano,5,,A4,0,NO,,SI,SI,NO,,SI,60,NO,NO,,SI,SI,SI,NO,NO,NO,Autonomo,Doppia esposizione|Ultimo piano,Ultimo piano con terrazzo perimetrale e vista aperta.,"Ultimo piano con terrazzo perimetrale e vista aperta. La zona giorno è un unico ambiente continuo, servito da una cucina separata.
La proprietà comprende due posti auto e una cantina al piano interrato.",https://www.youtube.com/watch?v=example,,
p-003,villa-con-parco-pedemontana,Villa con parco,SI,Disponibile,Vendita,Villa,,SI,3,,,,Polcenigo,PN,Pedemontana,,NO,0,SI,,,310,4,3,,,,A3,18.2,SI,Doppio,,,SI,0,,,,,,,,,,SI,SI,Pompa di calore,Domotica|Parco privato,Villa singola immersa in un parco privato. Trattativa riservata.,"Villa singola immersa in un parco privato, con orientamento studiato per accompagnare la luce lungo tutta la giornata.
Trattativa riservata. Visite su appuntamento.",,,
p-004,appartamento-arredato-aviano,Appartamento arredato,SI,Disponibile,Affitto,Appartamento,,SI,4,SI,,,Aviano,PN,,,,,NO,1150,80,95,2,2,,,,0,0,NO,,SI,NO,,,SI,0,,,,,,SI,SI,,,Autonomo,,"Appartamento completamente arredato, pronto all'uso.","Appartamento completamente arredato, pronto all'uso, con doppio servizio e terrazzo abitabile. Adatto al personale in servizio presso la base di Aviano.",,,
p-005,rustico-da-ristrutturare-polcenigo,Rustico da ristrutturare,SI,Disponibile,Vendita,Rustico,,NO,,,,,Polcenigo,PN,,,,185000,NO,,,240,4,1,,,,G,0,,,,,,,,,,,,,,,,,,,Da ristrutturare|Struttura in muratura|Terreno di pertinenza,Corpo rurale con struttura in muratura portante e ampio sedime esterno.,Corpo rurale con struttura in muratura portante e ampio sedime esterno. Un progetto di recupero con volumetria già esistente.,,,
p-006,casa-a-schiera-fontanafredda,Casa a schiera con giardino,SI,Disponibile,Vendita,Casa a schiera,,SI,5,,,,Fontanafredda,PN,,,,245000,NO,,,130,3,2,,,,0,0,SI,0,,,SI,136,,,SI,,,,SI,,,,,Autonomo,Soffitta recuperabile|Unità di testa,Casa a schiera di testa con giardino su tre lati.,"Casa a schiera di testa con giardino su tre lati, garage al piano interrato e soffitta recuperabile.",,,
p-007,terreno-edificabile-porcia,Terreno edificabile,SI,Disponibile,Vendita,Terreno,,,,,,,Porcia,PN,,,,95000,NO,,,800,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,"Lotto edificabile in zona residenziale, pronto per la progettazione.","Lotto edificabile in zona residenziale, pronto per la progettazione. Indici e vincoli urbanistici disponibili su richiesta.",,,
p-008,bifamiliare-con-giardino-porcia,Porzione di bifamiliare,SI,Affittato,Affitto,Bifamiliare,,,,SI,,,Porcia,PN,,,,,NO,1400,,160,3,2,,,,0,0,SI,,,,SI,0,,,,,,,,,,,,,Parzialmente arredato|Ingresso indipendente,Porzione di bifamiliare con giardino privato e ingresso indipendente.,Porzione di bifamiliare con giardino privato e ingresso indipendente. Attualmente locata.,,,
p-009,vecchio-appartamento-venduto,Appartamento venduto — archivio,NO,Venduto,Vendita,Appartamento,,,,,,,Pordenone,PN,,,,210000,NO,,,70,2,1,,,,0,0,,,,,,,,,,,,,,,,,,,,Archiviato.,"Immobile venduto, mantenuto in archivio per storico.",,,
p-010,unita-a1-borgo-rose,Unità A1 — Borgo Rose,SI,Disponibile,Vendita,Appartamento,,,,,SI,Borgo Rose,Brugnera,PN,,,,0,SI,,,85,2,1,,,,0,0,,,,,,,,,,,,,,,,,,,,Unità in un intervento residenziale di nuova costruzione.,"Unità in un intervento residenziale di nuova costruzione, pensato attorno a una corte comune.",,,
